sid,sim,eid
1,0.19018013775348663,186
1,0.12403874844312668,703
1,0.10594470798969269,1407
1,0.08614730834960938,314
1,0.08279673010110855,2144
2,0.09281963109970093,180
2,0.06003890931606293,688
2,0.05796919763088226,1736
2,0.05164848268032074,706
2,0.049187373369932175,1189
3,0.1356460303068161,1655
3,0.07772397994995117,991
3,0.06507152318954468,375
3,0.05798928067088127,1904
3,0.05302611365914345,673
4,0.14811156690120697,22
4,0.11771270632743835,1371
4,0.11046434938907623,864
4,0.08170853555202484,586
4,0.08103616535663605,2064
5,0.09630841761827469,1664
5,0.09630803763866425,244
5,0.08506055921316147,23
5,0.08320822566747665,689
5,0.0823427066206932,1704
6,0.15426363050937653,1671
6,0.14834368228912354,329
6,0.14409685134887695,65
6,0.13874174654483795,776
6,0.12478397786617279,876
7,0.08261416852474213,1676
7,0.0799635574221611,1864
7,0.0747237503528595,1067
7,0.07141346484422684,1924
7,0.06712859869003296,877
8,0.10253092646598816,211
8,0.10088125616312027,1001
8,0.08584839850664139,1344
8,0.07250557839870453,5
8,0.06982991844415665,1869
9,0.08599849790334702,2056
9,0.07778550684452057,134
9,0.06745535135269165,144
9,0.067449651658535,649
9,0.06386823952198029,83
10,0.22561655938625336,1118
10,0.17787426710128784,239
10,0.11822378635406494,442
10,0.09248640388250351,1560
10,0.08833645284175873,1374
11,0.09208638966083527,1648
11,0.08945823460817337,1423
11,0.08208160102367401,665
11,0.08152113854885101,1197
11,0.07544728368520737,2117
12,0.0850125253200531,574
12,0.07882694900035858,2070
12,0.07803642749786377,192
12,0.077070452272892,821
12,0.07337356358766556,176
13,0.10726752132177353,626
13,0.08141328394412994,770
13,0.07519491016864777,250
13,0.07453248649835587,143
13,0.07321137189865112,2024
14,0.15639843046665192,1576
14,0.14390619099140167,837
14,0.12723155319690704,482
14,0.10778316110372543,1187
14,0.10624976456165314,71
15,0.15907716751098633,1852
15,0.14872974157333374,626
15,0.1100887656211853,785
15,0.10420557111501694,1522
15,0.10123082250356674,950
16,0.10983699560165405,1406
16,0.10069447755813599,122
16,0.08006788790225983,2028
16,0.07970322668552399,637
16,0.07276381552219391,837
17,0.35259729623794556,1492
17,0.27540817856788635,241
17,0.058630507439374924,1319
17,0.04753078520298004,2119
17,0.03887927159667015,438
18,0.16934147477149963,1852
18,0.0991828590631485,785
18,0.08947469294071198,1565
18,0.07619819045066833,1612
18,0.06401732563972473,15
19,0.3503713011741638,1545
19,0.13076573610305786,1241
19,0.09844641387462616,700
19,0.09600678086280823,450
19,0.0908297449350357,664
20,0.0993596538901329,1592
20,0.09896502643823624,565
20,0.0808292031288147,1754
20,0.06827160716056824,1574
20,0.06047430261969566,1652
21,0.17605626583099365,37
21,0.13626082241535187,517
21,0.12741471827030182,176
21,0.11312432587146759,125
21,0.11090084910392761,532
22,0.3404386341571808,194
22,0.17437635362148285,201
22,0.15276837348937988,4
22,0.14195981621742249,1721
22,0.12624838948249817,1580
23,0.14304256439208984,2131
23,0.10417279601097107,1383
23,0.09330491721630096,1449
23,0.08955322206020355,2053
23,0.08377274125814438,840
24,0.08915768563747406,1909
24,0.07638175785541534,1952
24,0.07084342837333679,592
24,0.06891312450170517,731
24,0.06717249006032944,1695
25,0.14436903595924377,895
25,0.12815770506858826,183
25,0.10833370685577393,1360
25,0.07751074433326721,899
25,0.07691597938537598,568
26,0.0809122771024704,729
26,0.07175082713365555,1786
26,0.06379257142543793,1666
26,0.06181059777736664,1269
26,0.05847376957535744,1480
27,0.14197495579719543,151
27,0.11760751157999039,271
27,0.09836222231388092,1708
27,0.08636833727359772,180
27,0.0763063058257103,431
28,0.1495453119277954,204
28,0.14230404794216156,511
28,0.12219484150409698,1518
28,0.09691883623600006,1351
28,0.09248559176921844,1483
29,0.21141299605369568,936
29,0.14777633547782898,570
29,0.1464170664548874,917
29,0.1326533854007721,359
29,0.1257966011762619,665
30,0.09620174765586853,360
30,0.0961320549249649,1085
30,0.0941479280591011,1971
30,0.08945928514003754,1317
30,0.08928327262401581,568
31,0.12212793529033661,1220
31,0.10452327877283096,692
31,0.10131904482841492,1213
31,0.09992145001888275,1664
31,0.09179134666919708,664
32,0.08499233424663544,1242
32,0.06971505284309387,2132
32,0.06598297506570816,393
32,0.06049223616719246,235
32,0.06039206683635712,1048
33,0.130395770072937,1917
33,0.09330826997756958,1318
33,0.08828382194042206,1126
33,0.08151701092720032,903
33,0.0796588882803917,167
34,0.07723217457532883,1458
34,0.06509823352098465,2057
34,0.06394748389720917,2022
34,0.061735957860946655,2053
34,0.06168955937027931,2048
35,0.1356147974729538,1172
35,0.1063511073589325,694
35,0.08149323612451553,1147
35,0.08142929524183273,697
35,0.08112597465515137,502
36,0.09212689101696014,1451
36,0.09103722125291824,1754
36,0.0847669243812561,1595
36,0.0612492598593235,477
36,0.0577813982963562,738
37,0.16952039301395416,21
37,0.10658754408359528,62
37,0.09078067541122437,1615
37,0.0907668024301529,176
37,0.08439251035451889,1411
38,0.1373223066329956,176
38,0.11246859282255173,821
38,0.06561547517776489,178
38,0.0654715895652771,744
38,0.0643547996878624,1318
39,0.1138012632727623,1168
39,0.08550567924976349,487
39,0.07932519167661667,1248
39,0.07585116475820541,1878
39,0.07323960959911346,1556
40,0.08321385085582733,1797
40,0.07975959032773972,1723
40,0.07754598557949066,1871
40,0.07397569715976715,383
40,0.06793724745512009,1838
41,0.16632866859436035,148
41,0.07730596512556076,1564
41,0.07500528544187546,1067
41,0.06184152513742447,240
41,0.056770846247673035,84
42,0.3611661195755005,247
42,0.3075050711631775,54
42,0.2644353210926056,116
42,0.2397555261850357,2002
42,0.23169764876365662,98
43,0.1482822149991989,1789
43,0.11390350013971329,1507
43,0.10739648342132568,1688
43,0.08822087198495865,1303
43,0.08316466212272644,1628
44,0.16642069816589355,1808
44,0.1493266224861145,1213
44,0.1149573028087616,889
44,0.10622814297676086,298
44,0.10274772346019745,664
45,0.14373455941677094,720
45,0.08653916418552399,1209
45,0.084810771048069,124
45,0.07302824407815933,1383
45,0.06291128695011139,15
46,0.09038491547107697,1854
46,0.07468099892139435,87
46,0.06734173744916916,1472
46,0.06722015887498856,695
